Price,Close,High,Low,Open,Volume,Ticker
Ticker,PH,PH,PH,PH,PH,
Date,,,,,,
2019-01-02,135.74005126953125,135.92960058945258,131.40763114197082,132.47269090782686,1097600,PH
2019-01-03,130.73068237304688,134.99089361293568,129.79199806348396,134.82843458281985,1281800,PH
2019-01-04,136.58851623535156,136.67876668769458,133.3753081573351,133.95296338740113,956900,PH
2019-01-07,137.08493041992188,138.8359515625657,134.89163664904362,136.15526682726224,922400,PH
2019-01-08,139.9461212158203,140.1085802698484,137.6174450347222,138.42074693742626,1086500,PH
2019-01-09,141.02919006347656,142.24768777457774,140.20783275517525,140.49666714716852,1050700,PH
2019-01-10,142.5726776123047,143.09616605920556,139.79270743352578,140.2259454254795,723500,PH
2019-01-11,142.5906982421875,142.61777475188515,140.69527370142353,141.2187758428875,957000,PH
2019-01-14,140.95703125,142.30189103949292,140.24399347304973,141.14658060824013,720300,PH
2019-01-15,139.35939025878906,141.58878065815935,138.72758228115762,141.27288355553412,979400,PH
2019-01-16,140.64112854003906,141.20974904784597,138.96231598305656,139.44068604429046,847400,PH
2019-01-17,143.98069763183594,145.25333497214163,139.76561753971347,139.76561753971347,712600,PH
2019-01-18,146.66134643554688,148.17768577644438,144.46805316528395,144.78396408082895,1200200,PH
2019-01-22,142.92471313476562,145.65051703001166,141.79647894131907,145.1179937960785,756500,PH
2019-01-23,141.5347137451172,144.43202506735818,140.65018203841365,143.6287229131052,908800,PH
2019-01-24,142.6719512939453,143.57453840524536,140.52378956188755,141.3993001616395,789700,PH
2019-01-25,145.30747985839844,145.89415587429244,143.85431429980355,143.85431429980355,1103900,PH
2019-01-28,142.3018798828125,143.84529605044543,140.07248873188885,142.825382032866,859000,PH
2019-01-29,146.32740783691406,146.8057778706362,142.27480080510261,142.74413615401673,817100,PH
2019-01-30,148.9268341064453,149.928706086784,146.0385588661302,147.79860051472983,1254700,PH
2019-01-31,148.75540161132812,150.19051202518133,144.6305850642501,147.57301452422686,1850800,PH
2019-02-01,148.3762664794922,150.50637220826766,147.39245002050438,148.40334298589488,1287600,PH
2019-02-04,149.36915588378906,149.5496705635079,147.329300063043,148.75538944588027,690300,PH
2019-02-05,150.01905822753906,150.1995729535587,148.38536346022582,150.1995729535587,828200,PH
2019-02-06,149.82945251464844,150.91255423618082,149.54061804363414,149.82043160207382,572700,PH
2019-02-07,147.1726531982422,149.0858710698847,145.9032254408265,148.8863875886158,737200,PH
2019-02-08,146.97325134277344,147.5173000185188,145.18697525481298,146.22065667014311,717700,PH
2019-02-11,148.56008911132812,148.92279295093402,147.60801055650072,147.67148891683306,858800,PH
2019-02-12,154.2271270751953,155.08852576537188,150.13774197971648,150.61831221220646,1376300,PH
2019-02-13,155.38772583007812,156.85665116891582,154.75301183711238,155.3333237500707,858300,PH
2019-02-14,153.30226135253906,154.4628853478903,152.62220758171313,154.0457796140628,808800,PH
2019-02-15,157.4641876220703,157.5185897101968,154.4447472094853,154.80743702081486,872700,PH
2019-02-19,157.16494750976562,158.61572045427096,155.99524738221695,156.49395620265523,675100,PH
2019-02-20,158.98745727539062,159.44082633149867,157.06517690492475,157.61828770680557,559700,PH
2019-02-21,158.6248016357422,158.89682589498008,157.13775136573403,158.05355207491544,903000,PH
2019-02-22,159.3773651123047,160.91881716739945,158.43434970833965,159.30482440155924,878800,PH
2019-02-25,159.8126678466797,161.6442835734523,159.5587821620655,160.60152594989285,815400,PH
2019-02-26,158.8968505859375,160.46550422675134,158.21679675003358,158.28026124680463,597100,PH
2019-02-27,160.98231506347656,161.02765474657116,158.21677425917935,158.68826822332275,707200,PH
2019-02-28,159.73101806640625,161.04578579983655,159.42273037305284,160.86444091173033,1160300,PH
2019-03-01,159.63124084472656,161.82554532557984,158.63382342810007,161.3358990171541,799500,PH
2019-03-04,158.28933715820312,161.19089741823558,157.12869921845945,159.96679498185233,931300,PH
2019-03-05,158.1079864501953,159.22328475727653,157.59115270424545,158.2893452172121,640100,PH
2019-03-06,156.17660522460938,158.24396738154434,156.11312690430836,158.10794833906849,719300,PH
2019-03-07,154.4810028076172,156.18567527286157,153.19343605636638,156.18567527286157,740400,PH
2019-03-08,153.26597595214844,153.80094823628758,151.76986326986673,152.6312619001419,724600,PH
2019-03-11,156.04058837890625,156.10406670010093,153.16622967143633,153.34757456156242,577200,PH
2019-03-12,155.0976104736328,156.6027995807779,154.8981269131326,156.2854355975102,721200,PH
2019-03-13,156.4939727783203,157.3825863473051,153.67401587940432,155.5872344035657,1067600,PH
2019-03-14,154.13645935058594,156.02247680644393,153.7918943451156,155.77765357436084,914800,PH
2019-03-15,154.8437042236328,155.8048446132459,154.07297113006763,154.1092484102767,1391700,PH
2019-03-18,157.8268585205078,158.08982036258018,155.07038031182424,155.18824687673083,691300,PH
2019-03-19,156.4849090576172,159.76729751915312,155.8955208175524,158.47066829532366,733600,PH
2019-03-20,153.1571807861328,156.2672867416724,152.25950482255217,156.2310232947381,1043800,PH
2019-03-21,153.70120239257812,154.8527638936499,152.08720934496336,152.29576911316457,1193600,PH
2019-03-22,148.1519775390625,152.78541103240616,147.16363606423496,152.78541103240616,1268500,PH
2019-03-25,148.45120239257812,149.69342949312818,147.31777946558603,147.68954550621442,731200,PH
2019-03-26,149.9473114013672,150.99913117209272,149.09497516770097,149.71156441926476,574700,PH
2019-03-27,151.06263732910156,151.51600657218324,148.87739425687246,150.18309989066464,997200,PH
2019-03-28,153.7465362548828,154.83461939338906,151.7063751817857,151.7063751817857,833300,PH
2019-03-29,155.61439514160156,156.28538634598632,154.9252791361416,155.26984405673457,799300,PH
2019-04-01,161.28152465820312,161.6170272118381,157.5639062139764,157.5639062139764,960600,PH
2019-04-02,160.96420288085938,161.66238147949485,159.92144543083043,161.17274883657325,678500,PH
2019-04-03,162.73233032226562,163.88389188336825,161.78931470450743,162.12481729723342,1126400,PH
2019-04-04,164.72715759277344,164.7906359196599,162.3696461382913,162.84114012775004,619100,PH
2019-04-05,166.29579162597656,166.54967723234012,164.11962533265245,164.96288527470398,970200,PH
2019-04-08,167.3476104736328,167.36574911277395,164.22842865629434,165.28024835483458,618300,PH
2019-04-09,164.0380401611328,165.9875221024212,163.63907306869274,165.9875221024212,911100,PH
2019-04-10,165.97850036621094,166.4500083033219,163.6028358707258,163.6028358707258,803300,PH
2019-04-11,168.5354461669922,168.79840802632742,165.4888048754274,166.27767661770446,783600,PH
